id,english,telugu
1,I've been here since this morning.,నేను ఈ ఉదయం నుండి ఇక్కడ ఉన్నాను.
2,It isn't something I want to do.,ఇది నేను చేయాలనుకుంటున్నది కాదు.
3,I'm a schoolteacher from Boston.,నేను బోస్టన్ నుండి పాఠశాల ఉపాధ్యాయుడిని.
4,I wish you both a lifetime of happiness.,మీ ఇద్దరికీ జీవితకాలం ఆనందంగా ఉండాలని కోరుకుంటున్నాను.
5,I can't go to work today because I have the flu.,నాకు ఫ్లూ ఉన్నందున నేను ఈ రోజు పనికి వెళ్ళలేను.
6,Don't make any calls.,కాల్స్ చేయవద్దు.
7,I am going to play soccer after school.,నేను పాఠశాల తర్వాత సాకర్ ఆడబోతున్నాను.
8,I'll be late for school!,నేను పాఠశాలకు ఆలస్యం అవుతాను!
9,I don't even have a single girlfriend.,నాకు ఒక్క స్నేహితురాలు కూడా లేదు.
10,I'm waiting for lunch.,నేను భోజనం కోసం ఎదురు చూస్తున్నాను.
11,I'm going to change.,నేను మార్చబోతున్నాను.
12,I want to apologize for everything I've done.,నేను చేసిన ప్రతిదానికీ క్షమాపణ చెప్పాలనుకుంటున్నాను.
13,I'll go by plane.,నేను విమానంలో వెళ్తాను.
14,I wanted to thank you for everything you've done for me.,మీరు నా కోసం చేసిన ప్రతిదానికీ నేను మీకు ధన్యవాదాలు చెప్పాలనుకుంటున్నాను.
15,I have three cars.,నా దగ్గర మూడు కార్లు ఉన్నాయి.
16,There is an urgent need for them to update their system.,వారి వ్యవస్థను నవీకరించాల్సిన అవసరం ఉంది.
17,I don't think I'd like to live in Boston.,నేను బోస్టన్‌లో నివసించాలనుకుంటున్నాను.
18,I want you to have fun.,మీరు ఆనందించాలని నేను కోరుకుంటున్నాను.
19,Can you show me the way please?,దయచేసి నాకు మార్గం చూపించగలరా?
20,Can you recommend a good doctor?,మీరు మంచి వైద్యుడిని సిఫారసు చేయగలరా?
21,I'll arrange for someone to pick you up at your home.,మీ ఇంట్లో ఎవరైనా మిమ్మల్ని తీసుకెళ్లేందుకు నేను ఏర్పాట్లు చేస్తాను.
22,I forgot the password.,నేను పాస్‌వర్డ్ మర్చిపోయాను.
23,I want a green one.,నాకు ఆకుపచ్చ ఒకటి కావాలి.
24,It's never too late.,ఇది ఎప్పుడూ ఆలస్యం కాదు.
25,Please just leave me alone. I want to think.,దయచేసి నన్ను ఒంటరిగా వదిలేయండి.
26,I need mine.,నాకు గని కావాలి.
27,I can't believe I forgot about that.,నేను దాని గురించి మరచిపోయానని నమ్మలేకపోతున్నాను.
28,You should thank me.,మీరు నాకు కృతజ్ఞతలు చెప్పాలి.
29,I don't remember buying this.,దీన్ని కొన్నట్లు నాకు గుర్తు లేదు.
30,I remember that I closed the door.,నేను తలుపు మూసినట్లు నాకు గుర్తు.
31,Can you tell me about yourself?,మీ గురించి నాకు చెప్పగలరా?
32,Please do it quickly.,దయచేసి త్వరగా చేయండి.
33,Don't tell me to calm down.,శాంతించమని చెప్పకండి.
34,I like stories.,నాకు కథలు చాలా ఇష్టం.
35,I'm working on it.,నేను దానిపై పని చేస్తున్నాను.
36,I don't like cooking.,నాకు వంట అంటే ఇష్టం లేదు.
37,You're welcome to stay here.,ఇక్కడ ఉండటానికి మీకు స్వాగతం.
38,She is a doctor.,ఆమె వైద్యురాలు.
39,Listen to me carefully.,నా మాట జాగ్రత్తగా వినండి.
40,It's unlikely our team will win.,మా జట్టు గెలిచే అవకాశం లేదు.
41,Let's go to the Jacksons'.,జాక్సన్స్ కి వెళ్దాం.
42,I like that dress.,నాకు ఆ దుస్తులు చాలా ఇష్టం.
43,I've just come back.,నేను ఇప్పుడే తిరిగి వచ్చాను.
44,I like reading.,నాకు చదవడం ఇష్టం.
45,I want to get married and have children.,నేను పెళ్లి చేసుకొని పిల్లలు పుట్టాలనుకుంటున్నాను.
46,I'm frightened to death of spiders.,సాలెపురుగుల మరణానికి నేను భయపడ్డాను.
47,I won't go without you.,మీరు లేకుండా నేను వెళ్ళను.
48,I've worked all my life.,నేను నా జీవితమంతా పనిచేశాను.
49,I want to come back to Boston.,నేను బోస్టన్‌కు తిరిగి రావాలనుకుంటున్నాను.
50,I want to be a pilot.,నేను పైలట్ అవ్వాలనుకుంటున్నాను.
51,Could you please go?,మీరు వెళ్ళగలరా?
52,I don't like hitchhiking.,హిచ్‌హికింగ్ నాకు ఇష్టం లేదు.
53,I can't help anyone.,నేను ఎవరికీ సహాయం చేయలేను.
54,I'm eating lunch.,నేను భోజనం తింటున్నాను.
55,"We have large, medium, and small. What size do you want?","మాకు పెద్ద, మధ్యస్థ మరియు చిన్నవి ఉన్నాయి."
56,Please circle the right answer.,దయచేసి సరైన జవాబును సర్కిల్ చేయండి.
57,I've got no secrets from you.,మీ నుండి నాకు రహస్యాలు లేవు.
58,I'm happy with that.,నేను సంతోషంగా ఉన్నాను.
59,Please stay away from me.,దయచేసి నా నుండి దూరంగా ఉండండి.
60,Let me eat in peace.,నన్ను శాంతితో తిననివ్వండి.
61,I didn't go to the zoo.,నేను జూకు వెళ్ళలేదు.
62,Help me move this desk.,ఈ డెస్క్‌ను తరలించడానికి నాకు సహాయం చెయ్యండి.
63,You're going to miss me.,మీరు నన్ను కోల్పోతారు.
64,Don't you want to talk to me?,మీరు నాతో మాట్లాడాలనుకుంటున్నారా?
65,He is good at golf.,అతను గోల్ఫ్‌లో మంచివాడు.
66,I think that you need a lawyer.,మీకు న్యాయవాది అవసరమని నేను అనుకుంటున్నాను.
67,I was told that I should see a doctor.,నేను డాక్టర్‌ని చూడాలని చెప్పాను.
68,I don't doubt that he will help me.,అతను నాకు సహాయం చేస్తాడని నాకు అనుమానం లేదు.
